,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
19,21.0,female,Associate,14288.0,0,MORTGAGE,4575.0,VENTURE,17.74,0.32,3.0,626,No,1
20,24.0,female,Bachelor,79054.0,1,RENT,32500.0,HOMEIMPROVEMENT,9.99,0.41,3.0,700,No,1
21,21.0,female,Bachelor,14988.0,0,OTHER,4000.0,EDUCATION,12.84,0.27,2.0,553,No,1
22,21.0,male,High School,14858.0,0,OWN,2000.0,MEDICAL,11.12,0.13,3.0,589,No,1
23,26.0,male,Bachelor,114645.0,2,RENT,31050.0,HOMEIMPROVEMENT,14.17,0.27,3.0,681,No,1
24,21.0,male,Associate,15150.0,0,OWN,2500.0,EDUCATION,7.51,0.17,4.0,600,No,1
25,22.0,female,Bachelor,58868.0,0,RENT,30000.0,EDUCATION,18.39,0.51,2.0,606,No,1
26,24.0,male,High School,78026.0,3,RENT,30000.0,DEBTCONSOLIDATION,14.54,0.38,3.0,582,No,1
27,25.0,male,Bachelor,90785.0,4,RENT,30000.0,HOMEIMPROVEMENT,16.89,0.33,4.0,649,No,1
28,23.0,female,High School,86811.0,0,RENT,30000.0,DEBTCONSOLIDATION,11.01,0.35,4.0,602,No,1
29,26.0,male,Bachelor,75503.0,5,RENT,30000.0,MEDICAL,17.99,0.4,2.0,616,No,1
30,24.0,female,High School,15082.0,0,OWN,2500.0,VENTURE,12.69,0.17,3.0,631,No,1
31,26.0,male,Bachelor,98230.0,2,RENT,30000.0,PERSONAL,7.49,0.31,3.0,622,No,1
32,22.0,female,High School,80838.0,0,RENT,30000.0,MEDICAL,12.69,0.37,3.0,645,No,1
33,26.0,male,Master,107957.0,2,RENT,30000.0,DEBTCONSOLIDATION,6.62,0.28,3.0,654,No,1
34,24.0,female,Bachelor,94649.0,2,RENT,30000.0,DEBTCONSOLIDATION,11.01,0.32,4.0,624,No,1
35,23.0,male,High School,94550.0,1,RENT,30000.0,DEBTCONSOLIDATION,18.62,0.32,3.0,570,No,1
36,23.0,male,Bachelor,111153.0,3,RENT,30000.0,PERSONAL,15.23,0.27,3.0,648,No,1
37,23.0,female,Associate,117250.0,0,RENT,30000.0,VENTURE,10.65,0.26,2.0,652,No,1
38,26.0,female,High School,316466.0,6,MORTGAGE,10000.0,EDUCATION,11.01,0.03,4.0,579,No,1
39,25.0,female,Associate,267671.0,0,MORTGAGE,25000.0,MEDICAL,15.7,0.09,2.0,582,No,1
40,22.0,male,Master,85191.0,0,RENT,29100.0,EDUCATION,15.99,0.34,3.0,700,No,1
41,25.0,male,High School,15162.0,1,OWN,3000.0,MEDICAL,11.01,0.2,3.0,564,No,1
42,22.0,male,Associate,69042.0,0,RENT,28000.0,MEDICAL,11.01,0.41,2.0,598,No,1
43,21.0,female,High School,15307.0,0,OWN,3000.0,EDUCATION,13.61,0.2,3.0,557,No,1
44,23.0,female,Associate,79183.0,0,RENT,28000.0,EDUCATION,7.9,0.35,2.0,677,No,1
45,26.0,male,Bachelor,102654.0,4,RENT,28000.0,VENTURE,7.49,0.27,3.0,690,No,1
46,26.0,male,Associate,15229.0,1,OWN,6100.0,EDUCATION,7.51,0.4,3.0,599,No,1
47,22.0,male,High School,106566.0,0,RENT,28000.0,VENTURE,9.91,0.26,3.0,604,No,1
48,21.0,female,Bachelor,15252.0,0,OWN,4200.0,PERSONAL,13.48,0.28,4.0,663,No,1
49,22.0,male,Bachelor,15432.0,3,OWN,4750.0,DEBTCONSOLIDATION,7.14,0.31,2.0,601,No,1
50,24.0,male,High School,100332.0,1,RENT,28000.0,VENTURE,15.99,0.28,4.0,634,No,1
51,26.0,male,Bachelor,15505.0,0,OWN,2700.0,DEBTCONSOLIDATION,11.01,0.17,4.0,587,No,1
52,22.0,male,Master,130852.0,0,RENT,28000.0,EDUCATION,11.01,0.21,4.0,683,No,1
53,24.0,female,Bachelor,83853.0,3,RENT,27600.0,HOMEIMPROVEMENT,11.01,0.33,2.0,690,No,1
55,22.0,female,Bachelor,85243.0,0,RENT,27500.0,EDUCATION,13.06,0.32,3.0,583,No,1
56,26.0,male,Associate,89074.0,4,RENT,27050.0,VENTURE,15.62,0.3,2.0,668,No,1
57,24.0,male,Master,100509.0,2,RENT,27000.0,PERSONAL,13.49,0.27,2.0,673,No,1
58,24.0,male,High School,88950.0,3,RENT,27000.0,VENTURE,11.01,0.3,3.0,706,No,1
59,23.0,female,High School,75894.0,1,RENT,26000.0,MEDICAL,11.71,0.34,2.0,536,No,1
60,22.0,male,Bachelor,73131.0,3,RENT,25475.0,VENTURE,10.99,0.35,3.0,681,No,1
61,25.0,male,Bachelor,266090.0,4,MORTGAGE,11900.0,DEBTCONSOLIDATION,14.42,0.04,3.0,669,No,1
62,23.0,male,Associate,100756.0,0,RENT,25300.0,EDUCATION,10.99,0.25,3.0,689,No,1
63,22.0,male,High School,16218.0,1,MORTGAGE,2000.0,PERSONAL,5.42,0.12,4.0,614,No,1
64,21.0,female,Bachelor,51922.0,3,RENT,25000.0,EDUCATION,12.73,0.48,3.0,673,No,1
65,24.0,male,Associate,50309.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,0.5,3.0,625,No,1
66,25.0,male,High School,16378.0,0,OWN,3000.0,DEBTCONSOLIDATION,12.87,0.18,4.0,603,No,1
67,24.0,male,Bachelor,16572.0,0,MORTGAGE,3650.0,HOMEIMPROVEMENT,9.91,0.22,3.0,589,No,1
68,26.0,male,Associate,256862.0,2,MORTGAGE,35000.0,EDUCATION,10.65,0.14,2.0,643,No,1
69,24.0,male,High School,16470.0,2,MORTGAGE,4500.0,DEBTCONSOLIDATION,11.83,0.27,4.0,643,No,1
71,22.0,male,Bachelor,51608.0,0,RENT,25000.0,MEDICAL,14.59,0.48,2.0,593,No,1
72,26.0,female,Master,58516.0,6,RENT,25000.0,EDUCATION,9.64,0.43,4.0,686,No,1
73,25.0,female,Associate,16395.0,4,OWN,3600.0,MEDICAL,14.59,0.22,3.0,646,No,1
74,22.0,female,Bachelor,16890.0,0,OWN,4750.0,EDUCATION,11.01,0.28,3.0,645,No,1
75,25.0,female,Associate,51747.0,3,RENT,25000.0,EDUCATION,16.35,0.48,3.0,697,No,1
76,21.0,male,High School,59864.0,0,RENT,25000.0,EDUCATION,10.99,0.42,2.0,648,No,1
77,22.0,male,Associate,60501.0,0,RENT,25000.0,PERSONAL,11.83,0.41,3.0,687,No,1
78,23.0,male,High School,60754.0,1,RENT,25000.0,DEBTCONSOLIDATION,7.9,0.41,3.0,650,No,1
79,25.0,male,Bachelor,60829.0,0,RENT,25000.0,HOMEIMPROVEMENT,5.99,0.41,2.0,588,No,1
80,24.0,male,Bachelor,53825.0,2,RENT,25000.0,DEBTCONSOLIDATION,15.33,0.46,2.0,652,No,1
81,23.0,male,High School,60801.0,0,RENT,25000.0,VENTURE,11.83,0.41,4.0,658,No,1
82,22.0,male,High School,60747.0,0,RENT,25000.0,VENTURE,10.36,0.41,2.0,634,No,1
83,22.0,female,High School,61029.0,0,RENT,25000.0,VENTURE,12.23,0.41,3.0,623,No,1
84,22.0,female,Associate,63236.0,0,RENT,25000.0,EDUCATION,11.11,0.4,4.0,635,No,1
85,23.0,female,Bachelor,17149.0,0,OWN,4950.0,DEBTCONSOLIDATION,7.9,0.29,4.0,531,No,1
86,23.0,male,High School,63497.0,0,RENT,25000.0,PERSONAL,13.22,0.39,2.0,695,No,1
87,26.0,female,Doctorate,56325.0,2,RENT,25000.0,DEBTCONSOLIDATION,11.86,0.44,4.0,690,No,1
88,22.0,male,Bachelor,64842.0,0,RENT,25000.0,EDUCATION,13.43,0.39,4.0,574,No,1
89,26.0,female,High School,57856.0,0,RENT,25000.0,HOMEIMPROVEMENT,15.28,0.43,2.0,602,No,1
90,23.0,male,Associate,57318.0,0,RENT,25000.0,VENTURE,17.93,0.44,2.0,679,No,1
91,21.0,male,Master,16664.0,0,OWN,4500.0,VENTURE,12.98,0.27,4.0,601,No,1
92,26.0,male,Bachelor,58602.0,8,RENT,25000.0,VENTURE,18.43,0.43,2.0,595,No,1
93,22.0,male,High School,67012.0,2,RENT,25000.0,EDUCATION,11.01,0.37,4.0,653,No,1
94,24.0,female,Master,66643.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,0.38,4.0,663,No,1
95,23.0,male,Bachelor,66599.0,0,RENT,25000.0,EDUCATION,11.36,0.38,3.0,653,No,1
96,23.0,male,Associate,67212.0,2,RENT,25000.0,EDUCATION,15.65,0.37,3.0,598,No,1
97,24.0,female,High School,66918.0,1,RENT,25000.0,PERSONAL,13.22,0.37,4.0,630,No,1
98,26.0,male,Associate,68066.0,2,RENT,25000.0,DEBTCONSOLIDATION,12.87,0.37,2.0,637,No,1
99,23.0,male,Associate,229083.0,0,MORTGAGE,22000.0,EDUCATION,17.58,0.1,3.0,639,No,1
100,23.0,male,High School,17859.0,0,OWN,7750.0,PERSONAL,17.04,0.43,4.0,626,No,1
101,24.0,female,Associate,72608.0,3,RENT,25000.0,PERSONAL,10.99,0.34,3.0,612,No,1
102,24.0,male,Bachelor,73073.0,1,RENT,25000.0,PERSONAL,11.11,0.34,3.0,628,No,1
103,26.0,female,Master,65880.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.83,0.38,2.0,592,No,1
104,23.0,male,High School,17755.0,1,OWN,4000.0,DEBTCONSOLIDATION,11.01,0.23,3.0,580,No,1
105,25.0,male,Bachelor,65742.0,3,RENT,25000.0,HOMEIMPROVEMENT,16.82,0.38,4.0,672,No,1
106,23.0,male,Bachelor,72713.0,0,RENT,25000.0,PERSONAL,12.73,0.34,3.0,613,No,1
107,23.0,male,High School,72627.0,3,RENT,25000.0,PERSONAL,10.25,0.34,4.0,566,No,1
108,21.0,male,Associate,72843.0,0,RENT,25000.0,EDUCATION,10.99,0.34,4.0,718,No,1
110,22.0,female,High School,68824.0,0,RENT,25000.0,HOMEIMPROVEMENT,14.96,0.36,3.0,634,No,1
111,24.0,male,Associate,80145.0,1,RENT,25000.0,EDUCATION,9.91,0.31,2.0,636,No,1
112,22.0,male,Master,80303.0,0,RENT,25000.0,EDUCATION,13.06,0.31,3.0,554,No,1
113,24.0,female,Master,72919.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.34,2.0,553,No,1
114,21.0,male,Master,18008.0,0,OWN,3000.0,HOMEIMPROVEMENT,11.01,0.17,4.0,635,No,1
115,26.0,female,Associate,81238.0,3,RENT,25000.0,PERSONAL,15.21,0.31,2.0,531,No,1
116,23.0,male,High School,80868.0,1,RENT,25000.0,EDUCATION,7.9,0.31,4.0,621,No,1
117,24.0,male,Bachelor,81537.0,1,RENT,25000.0,VENTURE,10.99,0.31,3.0,674,No,1
118,24.0,female,Associate,82741.0,0,RENT,25000.0,PERSONAL,14.09,0.3,3.0,688,No,1
119,25.0,female,High School,83901.0,3,RENT,25000.0,PERSONAL,17.49,0.3,2.0,597,No,1
120,26.0,female,Associate,226744.0,0,MORTGAGE,20000.0,VENTURE,17.74,0.09,2.0,621,No,1
121,25.0,male,Bachelor,85284.0,3,RENT,25000.0,EDUCATION,15.21,0.29,3.0,653,No,1
122,22.0,female,Bachelor,18152.0,0,OWN,4000.0,MEDICAL,10.99,0.22,3.0,585,No,1
123,24.0,female,High School,84871.0,3,RENT,25000.0,EDUCATION,11.86,0.29,4.0,569,No,1
124,24.0,male,Bachelor,18294.0,2,OWN,6000.0,PERSONAL,7.49,0.33,3.0,587,No,1
125,24.0,male,Bachelor,68029.0,1,RENT,25000.0,MEDICAL,16.49,0.37,4.0,631,No,1
126,25.0,female,High School,80001.0,4,RENT,25000.0,VENTURE,15.33,0.31,2.0,592,No,1
127,26.0,female,High School,79875.0,6,RENT,25000.0,HOMEIMPROVEMENT,11.58,0.31,4.0,679,No,1
128,25.0,male,High School,18449.0,1,OWN,5375.0,EDUCATION,5.79,0.29,2.0,645,No,1
129,25.0,male,Associate,88153.0,0,RENT,25000.0,MEDICAL,13.11,0.28,2.0,669,No,1
130,23.0,female,Bachelor,90109.0,0,RENT,25000.0,MEDICAL,10.36,0.28,3.0,653,No,1
131,25.0,male,Bachelor,90938.0,1,RENT,25000.0,DEBTCONSOLIDATION,10.36,0.27,2.0,577,No,1
132,24.0,male,Bachelor,90938.0,0,RENT,25000.0,EDUCATION,10.25,0.27,4.0,648,No,1
133,22.0,male,Associate,86284.0,0,RENT,25000.0,EDUCATION,15.95,0.29,4.0,648,No,1
134,23.0,male,High School,94789.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.26,2.0,548,No,1
135,23.0,female,Master,94780.0,0,RENT,25000.0,VENTURE,10.62,0.26,3.0,667,No,1
136,23.0,male,High School,95298.0,0,RENT,25000.0,VENTURE,10.74,0.26,3.0,676,No,1
137,24.0,female,High School,75240.0,1,RENT,25000.0,MEDICAL,15.33,0.33,2.0,625,No,1
138,23.0,female,High School,96143.0,1,RENT,25000.0,VENTURE,15.21,0.26,2.0,642,No,1
139,21.0,male,Bachelor,18064.0,0,OWN,6250.0,VENTURE,14.72,0.35,2.0,580,No,1
140,24.0,male,Associate,96627.0,2,RENT,25000.0,PERSONAL,15.7,0.26,2.0,622,No,1
141,24.0,male,Bachelor,96309.0,3,RENT,25000.0,EDUCATION,13.35,0.26,4.0,581,No,1
142,24.0,male,Master,96836.0,1,RENT,25000.0,EDUCATION,6.62,0.26,2.0,583,No,1
143,26.0,male,Bachelor,96947.0,4,RENT,25000.0,DEBTCONSOLIDATION,13.61,0.26,4.0,645,No,1
144,24.0,female,Associate,207712.0,0,MORTGAGE,20000.0,DEBTCONSOLIDATION,13.47,0.1,4.0,582,No,1
145,23.0,female,Bachelor,89818.0,0,RENT,25000.0,DEBTCONSOLIDATION,16.35,0.28,4.0,674,No,1
146,26.0,female,High School,90006.0,4,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.28,4.0,595,No,1
147,25.0,female,High School,98704.0,6,RENT,25000.0,DEBTCONSOLIDATION,7.29,0.25,3.0,597,No,1
148,23.0,male,High School,98967.0,5,RENT,25000.0,MEDICAL,11.36,0.25,3.0,566,No,1
149,23.0,male,Master,18512.0,1,OWN,4000.0,HOMEIMPROVEMENT,16.7,0.22,2.0,566,No,1
150,25.0,female,High School,172215.0,5,MORTGAGE,10000.0,MEDICAL,18.25,0.06,4.0,628,No,1
151,23.0,male,Master,18831.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.01,0.32,4.0,667,No,1
152,24.0,male,Bachelor,91184.0,1,RENT,25000.0,VENTURE,14.7,0.27,3.0,668,No,1
153,23.0,female,High School,91886.0,1,RENT,25000.0,DEBTCONSOLIDATION,16.02,0.27,4.0,544,No,1
154,23.0,male,Associate,80452.0,2,RENT,25000.0,MEDICAL,15.37,0.31,2.0,699,No,1
155,21.0,male,Associate,18916.0,0,OWN,6200.0,HOMEIMPROVEMENT,7.9,0.33,2.0,615,No,1
156,23.0,female,Master,19000.0,2,OWN,4475.0,MEDICAL,11.01,0.24,4.0,647,No,1
157,23.0,female,Master,94363.0,0,RENT,25000.0,VENTURE,16.32,0.26,3.0,576,No,1
158,25.0,male,Master,80570.0,3,RENT,25000.0,MEDICAL,17.93,0.31,4.0,612,No,1
159,24.0,female,Associate,95753.0,1,RENT,25000.0,DEBTCONSOLIDATION,14.96,0.26,4.0,542,No,1
160,23.0,female,High School,85787.0,0,RENT,25000.0,MEDICAL,19.04,0.29,4.0,646,No,1
161,25.0,female,Master,102114.0,7,RENT,25000.0,DEBTCONSOLIDATION,15.95,0.24,3.0,637,No,1
162,23.0,male,High School,19062.0,2,OWN,4000.0,DEBTCONSOLIDATION,13.98,0.21,4.0,667,No,1
163,23.0,female,Associate,18926.0,0,OWN,4600.0,VENTURE,10.99,0.24,2.0,688,No,1
164,22.0,male,Associate,106694.0,0,RENT,25000.0,DEBTCONSOLIDATION,15.58,0.23,2.0,667,No,1
165,25.0,male,Master,90718.0,4,RENT,25000.0,MEDICAL,10.99,0.28,2.0,692,No,1
166,25.0,male,Bachelor,106668.0,1,RENT,25000.0,VENTURE,14.96,0.23,4.0,562,No,1
167,26.0,male,High School,106419.0,5,RENT,25000.0,VENTURE,15.65,0.23,3.0,649,No,1
168,23.0,male,High School,19065.0,3,MORTGAGE,3600.0,PERSONAL,13.47,0.19,4.0,540,No,1
169,24.0,male,Associate,111673.0,4,RENT,25000.0,HOMEIMPROVEMENT,16.77,0.22,4.0,600,No,1
170,23.0,male,High School,112633.0,1,RENT,25000.0,DEBTCONSOLIDATION,14.59,0.22,2.0,633,No,1
171,25.0,female,Associate,195268.0,1,MORTGAGE,25000.0,DEBTCONSOLIDATION,16.0,0.13,3.0,662,No,1
172,21.0,male,Master,18773.0,0,OWN,3175.0,HOMEIMPROVEMENT,11.54,0.17,3.0,686,No,1
173,25.0,female,Bachelor,116439.0,2,RENT,25000.0,HOMEIMPROVEMENT,15.68,0.21,4.0,595,No,1
174,24.0,female,High School,118417.0,0,RENT,25000.0,HOMEIMPROVEMENT,12.61,0.21,2.0,625,No,1
175,23.0,female,Associate,19312.0,4,MORTGAGE,2800.0,PERSONAL,8.49,0.14,3.0,661,No,1
176,25.0,male,High School,192351.0,1,RENT,30000.0,PERSONAL,17.27,0.16,4.0,577,No,1
177,24.0,male,High School,190735.0,1,RENT,25000.0,HOMEIMPROVEMENT,14.59,0.13,2.0,653,No,1
178,24.0,male,Associate,100758.0,0,RENT,25000.0,MEDICAL,11.01,0.25,2.0,635,No,1
179,22.0,female,Master,18923.0,0,OWN,2500.0,HOMEIMPROVEMENT,12.53,0.13,3.0,618,No,1
180,25.0,female,Master,161894.0,0,RENT,5000.0,MEDICAL,16.49,0.03,2.0,609,No,1
181,22.0,female,High School,121617.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.96,0.21,2.0,629,No,1
182,24.0,male,Master,110953.0,0,RENT,25000.0,MEDICAL,15.33,0.23,2.0,662,No,1
183,26.0,male,High School,130096.0,1,RENT,25000.0,PERSONAL,15.05,0.19,3.0,636,No,1
184,24.0,male,Associate,19677.0,3,OWN,3300.0,HOMEIMPROVEMENT,6.39,0.17,4.0,637,No,1
185,25.0,male,High School,19423.0,3,OWN,3200.0,VENTURE,18.09,0.16,2.0,586,No,1
186,22.0,female,Master,184800.0,1,MORTGAGE,24000.0,DEBTCONSOLIDATION,15.62,0.13,2.0,670,No,1
187,23.0,male,Associate,20044.0,3,OWN,6000.0,MEDICAL,7.9,0.3,2.0,618,No,1
188,23.0,male,Master,178660.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.93,0.14,3.0,590,No,1
189,23.0,female,High School,20421.0,0,MORTGAGE,5600.0,MEDICAL,12.84,0.27,4.0,587,No,1
190,24.0,male,Master,20353.0,2,OWN,3625.0,VENTURE,17.14,0.18,2.0,648,No,1
191,22.0,male,Master,20297.0,0,MORTGAGE,5500.0,VENTURE,7.14,0.27,3.0,687,No,1
192,25.0,male,Associate,20221.0,5,OWN,5000.0,PERSONAL,8.94,0.25,4.0,572,No,1
194,25.0,female,High School,60742.0,3,RENT,24750.0,PERSONAL,14.22,0.41,3.0,638,No,1
195,23.0,female,High School,72805.0,2,RENT,24750.0,DEBTCONSOLIDATION,9.33,0.34,3.0,655,No,1
196,25.0,male,Master,152227.0,2,MORTGAGE,10000.0,MEDICAL,14.09,0.07,4.0,639,No,1
197,25.0,female,Bachelor,65399.0,0,RENT,24250.0,PERSONAL,13.98,0.37,4.0,663,No,1
199,24.0,male,Bachelor,21627.0,0,MORTGAGE,3900.0,DEBTCONSOLIDATION,11.01,0.18,3.0,636,No,1
200,25.0,male,High School,83235.0,3,RENT,24250.0,PERSONAL,17.56,0.29,4.0,603,No,1
202,22.0,male,Master,89977.0,3,RENT,24250.0,DEBTCONSOLIDATION,15.65,0.27,2.0,692,No,1
203,24.0,female,Associate,79510.0,2,RENT,24250.0,MEDICAL,15.7,0.3,2.0,604,No,1
204,26.0,female,Bachelor,94635.0,2,RENT,24250.0,HOMEIMPROVEMENT,17.56,0.26,3.0,643,No,1
205,22.0,male,Associate,21205.0,0,MORTGAGE,4750.0,HOMEIMPROVEMENT,13.85,0.22,2.0,658,No,1
206,21.0,male,High School,21363.0,2,MORTGAGE,6000.0,VENTURE,10.39,0.28,4.0,671,No,1
207,22.0,female,Bachelor,130762.0,3,RENT,24150.0,HOMEIMPROVEMENT,14.96,0.18,3.0,683,No,1
208,22.0,female,Bachelor,52596.0,0,RENT,24000.0,DEBTCONSOLIDATION,13.85,0.46,3.0,693,No,1
209,23.0,female,Bachelor,57326.0,2,RENT,24000.0,VENTURE,11.58,0.42,4.0,603,No,1
211,26.0,female,High School,58620.0,4,RENT,24000.0,MEDICAL,11.01,0.41,3.0,664,No,1
212,21.0,female,Master,55113.0,0,RENT,24000.0,EDUCATION,16.29,0.44,2.0,645,No,1
213,25.0,male,Bachelor,63361.0,2,RENT,24000.0,PERSONAL,10.74,0.38,2.0,592,No,1
214,24.0,female,Bachelor,57356.0,3,RENT,24000.0,PERSONAL,17.8,0.42,2.0,672,No,1
215,22.0,female,High School,59680.0,0,RENT,24000.0,MEDICAL,17.56,0.4,4.0,590,No,1
216,26.0,female,Master,72720.0,2,RENT,24000.0,PERSONAL,7.9,0.33,4.0,636,No,1
217,25.0,female,High School,73024.0,5,RENT,24000.0,PERSONAL,10.99,0.33,4.0,580,No,1
218,22.0,male,Bachelor,73110.0,0,RENT,24000.0,PERSONAL,7.29,0.33,3.0,674,No,1
219,21.0,female,Associate,72902.0,0,RENT,24000.0,MEDICAL,10.75,0.33,2.0,601,No,1
220,26.0,female,High School,75416.0,4,RENT,24000.0,DEBTCONSOLIDATION,7.9,0.32,3.0,620,No,1
221,22.0,male,Master,75959.0,0,RENT,24000.0,EDUCATION,14.84,0.32,2.0,642,No,1
222,26.0,male,Associate,79222.0,7,RENT,24000.0,DEBTCONSOLIDATION,11.01,0.3,2.0,616,No,1
223,22.0,female,Associate,21824.0,0,MORTGAGE,4975.0,EDUCATION,11.01,0.23,3.0,588,No,1
224,23.0,male,High School,71875.0,1,RENT,24000.0,DEBTCONSOLIDATION,19.69,0.33,2.0,585,No,1
225,23.0,male,Bachelor,80313.0,1,RENT,24000.0,VENTURE,11.01,0.3,4.0,632,No,1
226,24.0,male,High School,72647.0,5,RENT,24000.0,VENTURE,14.96,0.33,4.0,556,No,1
227,25.0,male,Bachelor,80492.0,4,RENT,24000.0,EDUCATION,6.99,0.3,3.0,602,No,1
228,22.0,male,High School,75646.0,0,RENT,24000.0,PERSONAL,16.45,0.32,4.0,639,No,1
229,24.0,male,Associate,85223.0,3,RENT,24000.0,EDUCATION,10.99,0.28,4.0,603,No,1
230,23.0,male,Associate,89735.0,2,RENT,24000.0,DEBTCONSOLIDATION,10.99,0.27,2.0,689,No,1
231,22.0,male,High School,22364.0,4,OWN,3000.0,PERSONAL,7.9,0.13,4.0,672,No,1
233,24.0,male,Bachelor,90889.0,1,RENT,24000.0,MEDICAL,10.37,0.26,3.0,643,No,1
234,24.0,male,Bachelor,90911.0,2,RENT,24000.0,HOMEIMPROVEMENT,11.01,0.26,3.0,589,No,1
235,26.0,male,Master,83953.0,2,RENT,24000.0,DEBTCONSOLIDATION,15.83,0.29,3.0,646,No,1
236,23.0,male,Associate,94644.0,1,RENT,24000.0,PERSONAL,13.92,0.25,3.0,613,No,1
237,22.0,female,Associate,22867.0,3,OWN,3500.0,HOMEIMPROVEMENT,7.49,0.15,4.0,647,No,1
238,23.0,female,Master,22583.0,1,OWN,4000.0,EDUCATION,5.99,0.18,2.0,645,No,1
239,23.0,female,Bachelor,90900.0,0,RENT,24000.0,PERSONAL,12.92,0.26,2.0,672,No,1
240,22.0,male,Bachelor,100479.0,0,RENT,24000.0,DEBTCONSOLIDATION,19.69,0.24,3.0,590,No,1
241,21.0,female,Master,22882.0,0,OWN,4900.0,HOMEIMPROVEMENT,14.54,0.21,4.0,674,No,1
242,21.0,female,Bachelor,22392.0,0,OWN,5000.0,EDUCATION,11.11,0.22,2.0,594,No,1
243,24.0,male,Associate,22635.0,3,OWN,6250.0,HOMEIMPROVEMENT,6.54,0.28,4.0,602,No,1
245,26.0,female,Associate,125665.0,5,RENT,24000.0,DEBTCONSOLIDATION,20.0,0.19,4.0,657,No,1
246,26.0,male,Associate,130649.0,4,RENT,24000.0,EDUCATION,20.0,0.18,3.0,678,No,1
247,23.0,male,Bachelor,22957.0,1,MORTGAGE,2500.0,MEDICAL,15.95,0.11,2.0,594,No,1
248,23.0,male,Master,138731.0,0,RENT,24000.0,MEDICAL,20.0,0.17,3.0,613,No,1
249,23.0,male,Master,166378.0,0,RENT,24000.0,DEBTCONSOLIDATION,16.0,0.14,2.0,714,No,1
250,24.0,male,Associate,22684.0,0,OWN,13000.0,PERSONAL,7.88,0.57,3.0,640,No,1
251,21.0,male,Bachelor,22366.0,0,OWN,6250.0,VENTURE,10.62,0.28,4.0,637,No,1
252,26.0,male,Bachelor,178439.0,0,RENT,24000.0,EDUCATION,18.3,0.13,2.0,615,No,1
253,24.0,male,Associate,53633.0,4,RENT,23975.0,HOMEIMPROVEMENT,11.01,0.45,2.0,678,No,1
254,24.0,female,High School,67032.0,2,RENT,23600.0,PERSONAL,11.89,0.35,3.0,624,No,1
255,24.0,male,High School,22664.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,12.18,0.44,2.0,649,No,1
